"","Area","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"62","Czechia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600518,421717,425000,365400,397800,452400,437600,466000,493000,523000,548000,549960,583602,590578,580985,528653,479180,508168,517974,614315,457569,493569,639976,1068567,1098584,1035458,1194248,1196527,1212339,1231226
"63","Czechoslovakia",567800,571400,572500,576300,585000,572300,595000,613600,561000,609400,614400,580400,580700,594400,701000,757000,785000,791000,788000,876000,916000,1043000,1112300,1146800,1138300,1121900,1119900,1215200,1091800,1169100,980400,563500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Democratic People's Republic of Korea",3000,3000,3000,15000,20000,25000,30000,30000,35000,40000,40000,45000,45000,45000,68000,89000,93000,97000,101000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,107230,148849,161765,157609,130022,117522,117400,117400,117400,150600,150600,150600,150600,150600,150600,140600,143865,123238,107749,109204,106814,113854,108798,109184,108239,107786,107774,124169,106105,106105,107604
"65","Democratic Republic of the Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,26,26,6,6,6,6,6,202,28,-54,-54,39,-12,-48,61,781,591,464,654,491,254,121,969,969,1027,238,238,775
"66","Denmark",46700,59900,61200,67200,74100,81400,66100,168000,163900,190300,131300,137400,141700,156700,95800,105000,102900,142100,148200,138400,158600,145600,180900,189900,178200,179500,186600,170700,155200,133000,139300,188923,169416,178300,160500,168300,167700,87620,60627,51350,50986,63210,62221,64494,71785,57540,72235,66235,61623,67320,47985,60836,53461,49766,19335,42597,42597,58605,32019,32019,32019,32019
"67","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,2075,379,399,3700,3700,3700,3700,3700,3679,3679,3682,73,20,515,815,14507,8375,4747,9690,5371,2877,3738,3100,3100,3124
"68","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,0,31,30,78,78,78,78,78,78,76,76,76,76,76,76,76,76,47,47,47,47,47,47,47,47,47
"69","Dominican Republic",0,0,0,0,0,0,0,5900,4300,5400,6000,6000,6000,6000,6000,6000,6000,1800,3800,4000,4000,4000,4000,100,100,100,100,100,2300,253,320,102,255,269,1100,1400,200,150,0,0,0,0,0,589,589,984,900,920,446,2851,6130,11461,14484,13297,14060,10753,8642,11206,13318,18689,21398.4,14040
"70","Eastern Africa",4000,2700,3400,5500,5700,5000,5000,16600,17800,21500,27800,28300,34400,41800,44573,59900,62700,76800,112200,116000,119900,110200,107200,128100,118200,116500,159200,159700,157600,159700,159100,188196,201809,166360,176771,176763,187210,195325,192811,194281,198236,215705,217187,244224,236348,255722,249363,247819,125093.2,79182,81087,80282,96326,91714,85275,90881,79479,82297,88746,99035,107525.09,104449.46
"71","Eastern Asia",6116000,6371400,7347800,7569500,7786100,8613800,9296400,10432340,11399300,12744800,12661800,13009200,14045700,14162300,12828400,13836500,14186352,15409700,16662900,17275000,15899000,15817500,17221600,18286900,21592400,22930300,26709500,29179600,29305900,29276000,30808445,31817761,33653859,37455208,42569027,33242158,37281795,36869768,37121053,35627243,35511530,37073450,38093465,39781196,40743918,42785358,43815305,45317071,43964058,45237963,48636966,47783296,46111660,47194239.55,47822420,48426072,51583151,53022699,55359245,57578354,59504047.29,60821025.66
"72","Eastern Europe",4566100,4881800,5123500,5313700,5717600,6340900,6870600,7282700,7421400,8432200,8840400,9026500,9440800,10154500,10654000,10972300,11245400,11485500,10896200,11060000,11195400,11319600,12017500,12224600,12474000,12362500,12710000,13069600,13587200,12459800,10527600,7348619,5897027,4858443,5738618,4922351,4823520,5369054,6358271,7157365,7408590,7642470,8005850,8391198,8486562,8454266,8717202,8713665,8410653,8961470,9511674,9074333,9249014,9199969,9759805,10979837,11108007,11479420,11317480,11776685,12397428,12582341
"73","Ecuador",0,0,0,0,0,0,0,0,1100,2200,4000,4100,5300,6800,7900,8100,8900,10200,9300,10900,61600,61800,58300,30500,7200,10400,15600,9300,36900,9000,6100,5666,9544,13900,8500,7400,15000,15700,16500,16800,20500,21722,25100,25836,25836,23074,24779,25902,34285,38192,36596,38280,44697,38140,37986,40376,40747,41422,39856,45852,39094.8,39409.22
"74","Egypt",2000,20000,21000,23000,30000,40000,44000,107700,111200,101000,108200,96800,108800,98100,109700,126100,89000,85900,107700,121100,123300,111200,131000,135600,148700,121300,132000,80000,80000,80000,104500,172265,87566,109053,115839,124100,87200,131700,119300,185700,225500,212160,248627,225022,184475,148561,196990,194590,191855,175322,190586,206328,432467,423234,418682,444283,415991,454895,348635,269617,271002,223383
"75","El Salvador",0,0,0,100,100,100,300,300,400,1600,600,0,0,0,800,800,2900,2900,1000,400,400,400,9600,9600,9600,0,0,0,0,0,0,3795,7977,7977,22484,23039,21939,11700,8200,7600,18200,18200,9734,5036,1196,693,1545,2005,84,2126,2276,1108,427,3163,8503,42738,64364,48956,62005,70909,62581.31,56003
"76","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,71,71,71,71,61,61,61,61,61,61,61,61,61
"77","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-436,-436,-436,-427,-427,-427,-427,-426,-432,-434,-434,-434,-77,-77,-77,-77,-68,-68,-68
"78","Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42023,41716,31219,7219,28219,38400,41700,49963,54483,56130,65570,67552,68795,68248,88303,64076,75263,65285,88087,78672,98771,107448,88859,102164,80353,87452,70175,81763,91193,74192,67978
"79","Eswatini",9600,9600,73000,88000,88000,89000,90000,0,11000,3000,5000,0,0,7000,53000,0,29000,5000,0,0,300,31000,49000,0,0,6000,6000,4000,3600,-24400,23600,28600,6600,6600,93000,10000,-36000,-60000,-19000,-55900,-26100,-11200,11400,-2300,16900,1400,-3200,-5200,651,495,0,0,0,0,0,0,0,0,-938,-956,-1527.77,-1440.77
"80","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11242,3895,4300,5605,16400,16200,13800,17380,18636,16265,15273,16768,16140,17388,17390,16764,14501,15698,16977,18478,21193,15057,18732,17248,11517,13853,12512,16596,18042.51,11333.46
"81","Ethiopia PDR",0,0,0,0,0,0,0,0,0,2700,3800,3400,5600,7700,600,600,4900,11200,9800,9800,9800,10300,14200,14200,9700,6900,5300,5800,2700,3500,3500,5397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Europe",21132900,21303400,22571000,24091600,25569800,26963600,27854500,30391200,32730700,35380600,34289900,36127700,37946400,40151800,36203900,38141725,37579038,39547000,41191200,41437500,41348100,39919700,42151800,44881000,45208800,46540103,48553256,50382720,52392557,50817000,48439400,45607498,43600973,44695741,46765827,43866061,47200868,48348165,48652869,52259270,50629956,51787693,52334352,54771947,55085216,56265783,55616190,54031816,46296480,51365256,50893776,49778987,49841414,48752612,49626591,50553059,50680245,51854207,48396669,47007947,48721726,48994997
"83","European Union (27)",14932600,14883700,15917000,17089700,18004000,18917300,19395100,20340500,21876100,22897600,22311500,23602800,25442600,26181400,22279400,23254000,22654000,24509000,26120300,26030800,25801800,24380100,26291400,28237100,27996000,28684500,30167000,31651000,32144000,30855000,30388000,30610200,31614300,32857100,33321900,31813700,34546000,35087800,35327820,37859350,36390950,37353853,38181510,39665933,39197580,41797129,41871842,39761367,35086945,37266529,37715424,37458444,36922087,36268259,35984821,37224338,37699837,38356436,37492516,36625121,37655507,36971175
"84","Falkland Islands (Malvinas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,15
"85","Faroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,27,27,0,0,0,2
"86","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,74,0,0,0,0,0,0,0,0,0,-1,-1,-1,37,75,514,514,514,514,136,137,1,1,1,2,0,0,0,0,0
"87","Finland",3925200,3808700,4173300,4645800,4913800,5107800,5122000,3440800,3840000,4153300,4490500,4682800,5004500,5231100,4188500,4290144,4054800,4510200,5158000,5284300,5633100,5234100,5568100,6427000,6446200,6481200,6890000,7298000,7438000,7457100,7172700,7389533,7944353,8554000,8883000,8208000,9384000,9772800,9774000,10329327,9602346,9710416,9696742,10425199,9320197,10620148,10662071,9794025,7703213,8764244,8357569,7989968,7745157,7745415,7670840,7576566,7655578,8232046,7182027,6208058,6930242,6820116
"88","France",1469900,1470500,1502900,1574400,1638100,1733500,1741700,2443300,2722500,2876900,2788300,3016200,3083200,3367500,2727300,2891500,3069000,3274800,3268200,3268300,3190400,3105600,3211000,3361800,3028600,3383700,3466000,3480500,3867500,3949600,3990500,4395576,4122800,4435300,4376000,4195000,4540700,4368500,4423810,4603411,4231542,4166841,4023200,4096116,4087681,4018863,3702178,3627048,2850933,3223286,3087537,3262765,3370665,3147735,3225604,3143456,3194841,3188513,2861119,3012436,2923966,2996187
"89","French Guiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,2,14,14,14,49,15,15,15,15,15,15,8,108,108,108,108,108,108,108,109
"91","Gabon",0,0,0,100,100,0,0,0,0,0,0,0,0,0,1500,100,1800,1800,1800,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,74,63,31,31,83,83,83,30,30,30,200,196,205,205,205,205,297,115,256,189,120,81,71,36,61,-11,-11,-11,0,0,-12
"92","Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,6,6,6,6,17,17,18,20,20,20,38,23,23,23,23,38,9,6.13,6.13
"93","Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,-158,-144,-144,-144,-144,-144,-144,-144,5,25,25,25,25,151,0,95,90,37,62,65,93,88,48,59,70
"94","Germany",1830900,1774600,1806800,1542800,1619800,1673200,1669400,2888300,3259100,3526000,3260400,3482900,3693700,3921100,3280300,3796900,3885600,4116300,4333900,4511900,4482200,4454800,4876700,5128300,5121100,5279800,5460700,5593100,5881800,5822300,5892100,5862306,5307241,5455500,5265800,4972000,5407000,5316000,4989000,5694000,5542000,5846000,6258000,6448000,6652000,6894771,7010000,7157802,4918657,6550476,6222000,5969000,5975000,5740714,5876000,6059067,6072000,6139384,5541832,5034116,5349876,4936764
"95","Ghana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,679,0,0,0,0,0,0,0,0,0,220,225,225,225,225,225,184,120,287,483,483,511,254,601,799,3227,3977,2329,1413,2447
"96","Gibraltar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Greece",11900,14000,12900,13500,15900,19800,22200,97700,103800,116900,104900,97300,124300,112100,86700,103900,74800,109100,130300,144300,117200,137300,158300,151800,147900,182200,165700,131600,154300,184000,196100,166887,97553,110058,122099,96499,120601,127000,133020,113172,98934,100214,101220,106069,97574,75311,79294,103835,121884,113729,122634,115418,140453,128066,128066,128066,86143,92670,101806,110783,110783,110783
"98","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.35,5.35,0,0,0,1,1,1,1,0
"99","Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"100","Guadeloupe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"101","Guatemala",0,0,0,0,0,5000,8700,4400,6900,12100,8700,9400,20200,13600,5500,13600,9800,9400,14500,31400,13800,3100,13900,8000,9900,7400,7400,5900,6300,6300,6300,3648,2298,1146,2646,1446,1446,2200,700,600,800,277,858,1247,1997,2706,3149,3481,1066,1055,5969.5,1922.35,2092.11,6828.15,8456,12243,10624,15438,22439,15963,13636.9,24806.2
"102","Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,16,16,16,16,9,9,14,14,14,14,15,18,12,24,123,99,104,104,2029
"103","Guinea-Bissau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-193,-193,-193,-193,-193,-193,-193,-193,-193,-193,-193
"104","Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,49,0,2,-780,-780,-780,-780,-780,-780
"105","Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,78,54,54,0,0,0,0,0,0,357,357,357,357,357,357,783,670,670,12.06,12,14,31,11,11,11,11,11,11
"106","Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,1823,544,500,1200,1800,8600,7900,7700,8100,7200,7200,7814,7814,7191,7191,7191,7191,7007,1,-4,6,74,62,100,100,127,843,843,843,1026
"107","Hungary",64000,73300,75200,85800,49000,79300,74900,155900,154500,215800,186300,204800,220900,193300,239900,181300,231500,297700,283600,308400,289900,288900,314200,303300,281700,259900,264200,337000,331000,185000,165600,60795,50037,48900,45300,157000,156000,192600,189800,185500,182000,183000,206000,240000,281184,183478,108810,126800,93845,89747,107359,89740,102130,121454,134749,133278,142268,135635,133505,143138,120876,143954
"108","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,55,55,0,0,0,0,0,0,0,5,7,19,22,44,4320,5,10,12,15,11,11,13,13,135,0,0,0,0,0,0
"109","India",314200,321700,337600,378500,522200,576200,626500,694000,722200,764900,786400,826400,807200,877200,917600,962100,984000,1114300,1151200,876200,844000,922800,1131800,1183800,1303700,1640925,1627551,1658840,1726487,1826485,2039340,2077753,2155984,2011942,2039710,2132200,2381600,2520400,2734000,2729500,2845900,3164316,3446135,4083664,4396606,4550452,4411428,4459352,4538771,4798614,4859802,4928108,5518987,6833989,7100726,7040488,7104155,7089143,7164886,7088291,7326526.96,7600193
"110","Indonesia",6000,8300,10500,10500,10500,10500,10500,11300,15100,15500,17500,22500,39900,49400,54500,69200,76400,127500,135800,164000,254800,324500,489200,445900,402100,502200,435900,396200,655700,872600,948100,1502028,1970957,2362763,2138032,2069100,2490300,874900,1306100,3592900,3297300,2776481,2615228,3382937,2616265,1637086,3680104,3943881,3750415,4143442,4491972,4444193,4187998,4372244,4558515,4665888,4343840,5198687,4543237,4952876,4821937.81,5473713
"111","Iran (Islamic Republic of)",2400,2300,2400,2600,2600,2600,2600,2600,3700,21400,35100,36500,40200,35700,54800,53200,66500,66500,88500,88500,77400,78000,124100,91100,82000,60000,74900,74000,1e+05,186600,213000,186134,164196,256300,269700,273700,76284,75700,84500,79200,92700,354805,395322,416879,439564,581564,621564,568564,327564,363566,480709,419709,421304,395009,406148,440300,458413,393318,469783,498278,438998,379291
"112","Iraq",0,0,0,0,0,0,0,2200,1200,1000,29000,11000,21000,22100,34500,26100,24100,24100,24100,24100,10700,10700,10700,10700,10700,10700,10700,10700,10700,10700,10700,9000,9000,9000,9000,9000,9000,11000,10977,1977,1977,1977,1977,1977,1977,1977,1977,2826,2826,2826,2847,2809,3141,2153,2180,2088,1994,3024,5394,9278,9278,21978
"113","Ireland",25300,33400,35000,36600,32000,51100,63200,75500,70700,83300,70000,77400,93300,74400,33500,19900,18800,24800,27300,21300,34100,6200,5600,6300,5700,6403,5856,14820,14357,15000,15000,11129,8973,9226,9000,8000,11000,17000,19000,18000,11210,10970,11652,7584,4655,3430,2108,1593,1920,1114,603,1483,5746,3873,5842,1032,3226,5009,5009,6900,5827,5034
"114","Israel",0,3700,1800,39200,35900,38700,48200,54700,54400,53100,57100,55200,50000,70900,70900,61400,61800,43500,53000,41100,28400,61700,63000,78900,64700,82967,117891,70388,88900,80200,80200,112631,129096,75267,100413,98800,112800,147700,119352,113656,91491,107260,116578,153065,163318,188194,171380,158421,154103,176839,150939,159836,159840,141395,167495,167495,167495,185135,168532,168532,168532,168532
"115","Italy",503500,565600,593700,651100,695200,1026200,1104100,2269000,2549300,2549800,2116300,2490200,2677800,2647800,2041500,2502400,2271460,2725000,2826700,2690300,2407300,2188900,2302000,2459500,2517000,2472600,2730300,2899300,2898100,2725300,2909500,3015228,2996895,3247600,3314200,3385800,3688500,3899100,3912000,3774664,3914000,3845208,3877227,4000095,4425092,4324233,4105860,3830966,3561949,3973812,4012821,3868947,4031796,3974663,4033720,3934782,3684752,3889980,3985034,3639385,3640825,3675965
"116","Jamaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,500,300,1400,100,542,126,162,176,227,156,51,40,0,0,0,0,0,1,0,0,0,274,255,-12,-13,0,-57,0,-50,-26,-26,-1,12,12,-26
"117","Japan",3738000,3879400,4445800,4902000,4999000,5668200,6215200,6954000,7802000,8968000,8927100,9483700,10504400,10602900,9058500,9945000,9915652,10459800,11181600,11324200,9741400,9877000,10481500,10755200,11031000,11320500,12007200,13055100,13911200,13805300,14219800,13913082,13497313,13965400,14308500,14235000,14587800,13924350,13743200,14159220,13228300,12963250,12736500,12942100,12857100,12841100,12653200,12445700,9985600,10775267,10443763,10069334,10023941,10300105,10029871,9971001,10200624,9955710,9777958,8280712,8747347.48,8778553
"118","Jordan",0,0,0,0,0,0,1500,1900,2800,1500,2100,2100,2000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,16430,22518,18800,24400,41000,42600,43500,44300,48700,63200,32600,32600,84255,84255,84255,69028,87650,48067,78504,112375,112375,119222,105864,104694,104481,103012,85872,88311,108242,91228,77043
"119","Kazakhstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,2311,2311,200,800,674,569,3841,3251,3458,3348,3931,5121,6807,7354,5708,5708,5708,5708,6669,7305,16552,13918,19058
"120","Kenya",0,0,0,0,0,0,0,0,0,0,0,0,0,3000,12000,15000,15000,18000,47000,50000,52000,53000,53000,57000,52000,53000,54000,55000,56000,56000,58000,79185,90345,63365,67500,71102,69896,70800,70800,70500,69100,88795,101183,126066,118818,115008,114808,115876,1429.2,2160,1067,528,660,693,3533,2595,2617,2453,7688,10807,12853.65,17052.71
"121","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11854,8888,15432,13305,9768,9768,9768,18000,18000,14300,14300,14300,9059,9059,9059,12082,11710,8854,7421,13692,10565,14944,20479,19712,24294,24800,23264,21145,22143,22143,11230
"122","Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1671,200,405,0,0,25,8,0,-77,2,25,26,94,224,202,400,500,93,301,423
"123","Land Locked Developing Countries",16000,20700,84300,101400,103400,104700,106600,24600,38500,32500,38700,34300,35700,42700,88700,50200,76800,57600,58700,59500,61700,86200,95600,59300,57300,65700,73700,76700,76300,32600,80600,93027,78660,77255,175941,81950,46686,29403,68118,38191,96999,83939,90696,79696,97136,108939,101005,94391,99089.1,53421,64046,69866,75708,64283.3,65680,74511,73984,94638,103340,121722,127381.44,132506.47
